City	100	101	10101	102	10201	103	104	105	106	10601	107	108	109	110	11001	111	112	113	114	115	116	117	11701	118	119	200	201	202	203	20301	20302	204	20401	205	206	20601	207	208	20801	209	20901	210	211	212	21201	213	214	215	216	217	21701	218	219	220	221	222	22201	223	22301	224	22401	225	300	30001	301	302	30201	30202	30203	30204	30205	30206	30207	30208	30209	302010	302011	302012	303	30301	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	400	401	402	403	40301	404	40401	405	406	40601	407	408	40801	409	40901	410	41001	411	41101	412	41201	413	41301	414	415	41501	416	41601	417	41701	418	41801	419	41901	420	42001	421	422	423	42301	424	42401	500	50001	501	50101	50102	502	503	504	505	50501	506	507	50701	508	509	510	511	512	513	514	515	51501	51502	516	517	518	519	520	600	601	602	60201	603	60301	60302	604	60401	60402	60403	60404	60405	60406	605	60501	606	60601	607	60701	60702	60703	60704	60705	60706	608	60801	60802	60803	60804	60805	60806	60807	60808	60809	608010	609	610	61001	61002	61003	611	61101	612	613	61301	61302	61303	61304	61305	61306	61307	61308	61309	613010	613011	613012	613013	613014	613015	613016	614	61401	61402	61403	61404	61405	61406	61407	61408	61409	614010	614011	614012	614013	614014	614015	614016	614017	614018	614019	614020	614021	614022	614023	614024	614025	614026	614027	614028	614029	614030	614031	614032	614033	614034	615	61501	61502	61503	61504	61505	61506	616	61601	61602	61603	61604	61605	61606	61607	61608	61609	616010	616011	616012	616013	616014	616015	616016	616017	616018	616019	616020	616021	616022	616023	616024	616025	616026	616027	616028	616029	616030	616031	616032	616033	616034	616035	616036	616037	616038	616039	616040	616041	616042	616043	616044	616045	616046	617	618	619	61901
Biały Bór	Baldenburg	Bialenburg	Bialemburk	Baldenburg		Baldenburg	Baldenburg	Baldenburg	Baldenburg		Baldenburg		Baldenburg	Baldenburg		Baldenburg	Baldenburg	Baldenburg	Baldenburg	Baldenburg	Baldenburg				Baldenburg	Baldenburg		Baldenburg	Baldenburg					Baldenburg	Bialemburg		Baldenburg			Baldenburg		Baldenburg	Baldenburg	Baldenburg		Baldenburg	Baldenburg	Baldenburg	Baldenburg	Baldenburg		Baldenburg	Baldenburg	Baldenburg	Baldenburg			Baldenburg		Baldenburg	Bialenburskie	Baldenburg			Baldenburg	Bialybor	Bialoborek	Bialembork	Baldenburg										Baldenburg		Baldenburg	Baldenburg	Baldenburg	Baldenburg	Białybork	Baldenburg	Baldenburg	Baldenburg	Baldenburg	Baldenburg	Baldenburg	Baldenburg	Baldenburg	Baldenburg	Białembork	Baldenburg	Baldenburg		Białembork		Białembork	Baldenburg		Białembork		Białembork			Białembork			Baldenburg	Białembork	Baldenburg				Baldenburg	Białybór	Baldenburg		Białembork	Baldenburg		Baldenburg		Baldenburg		Baldenburg						Baldenburg	Baldenburg	Baldenburg		Białybór				Baldenburg			Białybór	Bialoborze	Biały Bór			Biały Bór	Baldenburg		Biały Bór			Biały Bór	Biały Bór	Biały Bór	Biały Bór	Baldenburg	Biały Bór		Biały Bór	Biały Bór	Biały Bór	Biały Bór	Biały Bór	Biały Bór	Biały Bór			Biały Bór												Biały Bór		Biały Bór	Baldenburg						Biały Bór	Baldenburg										Biały Bór	Biały Bór	Baldenburg			Biały Bór		Biały Bór	Baldenburg	Biały Bór 	Białybór	Białembork	Ball	Balle de olde												Biały Bór 	Baldenburg	Biôłô	Bjali Bora	Білий Бір	Бјали Бор	Бялы-Бур	比亞維布爾																												Biały Bór 	Białobork	Baldenburg	Ball de Olde	Білий Бір			Biały Bór 	Baldenburg	Biôłé	Bielno	Biôłô	Baldenburg	Balle 	Ballen	Balde	Białobork	de Ball de olde	Białembork	Bal	Bala																																		Biały Bór	Biały Bór	Biały Bór	Baldenburg
Biskupiec	Bischofswerder	Biskupice		Bischofswerder		Bischofswerder	Bischofswerder	Bischofswerder	Bischofswerder		Bischofswerder	Bischofswerder	Bischofswerder	Bischofswerder			Bischofswerder	Bischofwerder		Bischofwerder	Bischofwerder					Bischofswerder	Bischofswerder	Bischofswerder	Bischofswerder					Bischofswerder	Biskupyce		Bischofswerder			Bischofswerder		Bischofswerder	Bischofswerder	Bischofswerder		Bischofswerder	Bischofswerder	Bischofswerder	Bischofswerder	Bischofswerder			Biskupiec	Bischofswerder	Bischofswerder			Bischofswerder		Bischofswerder	Biskupiecz	Bischofswerder			Bischofswerder	Biskupiec	Bischofswerder												Bischofswerder		Bischofswerder	Bischofswerder	Bischofswerder	Bischofswerder	Biskupice	Bischofswerder	Bischofswerder	Bischofswerder	Bischofswerder		Bischofswerder	Bischofswerder	Bischofswerder	Bischofswerder	Biskupice	Bischofswerder	Bischofswerder	Bischofswerder	Biskupice		Biskupice	Bischofswerder		Biskupice					Biskupiec			Bischofswerder	Biskupiec	Bischofswerder		Bischofswerder		Bischofswerder	Biskupice	Bischofswerder		Biskupice	Bischofswerder		Bischofswerder	Biskupiec	Bischofswerder		Bischofswerder	Biskupiec	Biskupiec		Bischofswerder		Bischofswerder	Bischofswerder	Bischofswerder		Biskupice		Biskupiec		Bischofswerder			Biskupice	Biskupiec	Biskupiec			Biskupiec	Bischofswerder		Biskupiec	Biskupiec	Biskupiec			Biskupiec		Bischofswerder	Biskupiec		Biskupiec	Biskupiec	Biskupiec	Biskupiec		Biskupiec	Biskupiec	Biskupiec		Biskupiec												Biskupiec		Biskupiec	Bischofswerder						Biskupiec	Biskupiec Pomorski	Bischofswerder									Biskupiec	Biskupiec	Bischofswerder			Biskupiec		Biskupiec	Bischofswerder	Biskupiec 																Biskupiec 	Bischofswerder	Biskupec	Biskupice	Biskupie	Бискупец																														Biskupiec 	Biskupiec Pomorski	Bischofswerder																																																				Biskupiec	Biskupiec	Biskupiec	Bischofswerder
Brodnica	Strasburg	Brodnica		Strassburg	Brodnica	Strassburg	Strasburg	Strasburg	Strasburg		Strasburg		Strasburg	Strasburg		Strasburg	Strasburg	Strasburg	Strassburg	Strasburg	Strassburg					Strasburg	Strasburg	Strasburg	Strasburg			Brodnica	Strasburg	Strasburg	Brodnica		Brodnica	Strasburg				Strasburg	Strasburg	Strassburg		Strassburg	Strasburg	Strassburg	Strassburg	Strassburg		Strasburg		Strasburg	Strasburg	Brodnica	Strasburg	Strassburg		Strasburg		Strasburg	Brodnica	Strasburg	Strassburg	Brodnica	Strassburg												Strassburg		Strasburg	Strasburg	Strasburg	Strasburg	Brodnica	Strasburg	Strasburg	Strasburg	Strasburg	Brodnica	Strasburg	Strasburg	Strasburg	Strasburg		Strasburg	Strasburg	Strasburg	Brodnica	Brodnica	Brodnica	Strassburg	Brodnica	Brodnica		Brodnica	Brodnica		Brodnica	Brodnica		Brodnica				Strasburg		Brodnica		Strasburg		Brodnica	Strasburg		Brodnica				Strasburg	Brodnica	Brodnica		Strasburg		Strasburg	Strasburg	Strasburg		Brodnica		Brodnica		Strasburg	Brodnica		Brodnica	Brodnica	Brodnica	Brodnica		Brodnica	Strasburg		Brodnica	Brodnica	Brodnica	Brodnica	Brodnica	Brodnica	Brodnica	Strasburg	Brodnica		Brodnica	Brodnica	Brodnica	Brodnica		Brodnica	Brodnica	Brodnica		Brodnica										Brodnica		Brodnica		Brodnica	Strasburg						Brodnica	Strasburg										Brodnica	Brodnica	Strasburg			Brodnica		Brodnica	Strasburg	Brodnica	Strasberg	Strassburg														Brodnica	Бродница	Бродниця	Бродњица	布罗德尼察																															Brodnica	Strasburg						Brodnica	Streisbergk	Strasberg	Brodnicza	Straasberg 	Brodnica	Strasburg	Brodnjca	Brodnica	Strasburg 	Strasburg 																																					Brodnica	Brodnica	Brodnica	Strasburg
Chełmno	Culm	Chelmno		Culm		Culm	Culm	Culm	Culm		Culm	Culm	Culm	Culm		Culm	Culm	Culm	Culm	Culm	Culm	Culm			Culm	Culm	Culm	Culm	Culm			Chelmno	Culm	Culm	Cholmno	Culm	Kulm	Kulm		Culm		Kulm	Kulm	Kulm		Culm	Culm	Culm	Kulm	Kulm	Chelmno	Kulm		Culm	Culm	Chelmno	Kulm	Kulm	Chełmno	Kulm		Culm	Chełmno	Kulm	Kulm	Chełmno	Culm												Kulm		Kulm	Kulm	Kulm	Culm	Chełmno	Kulm	Kulm	Culm	Culm	Chełmno	Culm	Culm	Kulm	Culm	Chełmno	Culm	Kulm	Kulm	Chełmno	Chełmno	Chełmno	Kulm	Chełmno	Chełmno		Chełmno	Chełmno		Chełmno	Chełmno		Chełmno				Culm		Chełmno		Culm		Chełmno	Culm		Chełmno		Kulm	Chełmno	Culm	Chełmno	Chełmno		Kulm		Culm	Kulm	Culm		Chełmno		Chełmno		Kulm	Chełmno		Chełmno	Chełmno	Chełmno	Chełmno		Chełmno	Kulm		Chełmno	Chełmno	Chełmno	Chełmno	Chełmno	Chełmno	Chełmno	Kulm	Chełmno		Chełmno	Chełmno	Chełmno	Chełmno		Chełmno	Chełmno	Chełmno		Chełmno										Chełmno		Chełmno		Chełmno	Culm	Kulm					Chełmno	Culm	Kulm									Chełmno	Chełmno	Culm	Kulm		Chełmno		Chełmno	Kulm	Chełmno	Culm															Chełmno	ヘウムノ	Campo di sterminio di Chełmno		Chelmno	Chełmno nad Wisłą	Chôłmno	Ekstermejo Chełmno	Helmno	Kulm	Kulmas	חלמנו	Хелмно	Хэлмна	海烏姆諾																					Chełmno	Chołmien	Culmen	Culm	Kulm			Chełmno	Culmensem	Culmine	Chelmensem	Colme	Culmen	Chełmno	Chełmno	Culmen	Culm	Kulm	Chôłmno	Chôłmień																																			Chełmno	Chełmno	Chełmno	Culm
Chełmża	Culmsee	Chelmza		Culmensee		Culmensee	Culmensee	Culmensee	Culmensee		Culmsee		Culmsee	Culmensee		Cubnsee	Culmensee	Culmsee	Culmsee	Culmsee	Culmensee	Culmensee				Culmsee		Culmensee	Culmensee	Chelmsee		Chelmza	Culmsee	Culmsee	Chelmza		Kulmensee			Culmsee		Kulmsee	Kulmsee	Culmsee	Chelmza	Culmsee	Culmsee	Culmsee	Kulmsee	Kulmsee		Kulmsee		Culmsee	Culmsee	Chelmza		Kulmsee		Kulmsee	Chelmzo	Culmsee			Kulmsee	Chełmża	Culmsee	Kulmsee											Kulmsee		Kulmsee	Kulmsee	Kulmsee	Culmsee	Chełmża	Kulmsee	Kulmsee	Culmsee	Culmsee		Culmsee	Kulmsee	Kulmsee	Culmsee	Chełmża	Culmsee	Kulmsee	Kulmsee	Chełmża		Chełmża	Kulmsee	Chełmża	Chełmża		Chełmża	Chełmża		Chełmża	Chełmża		Chełmża				Culmsee		Chełmża		Culmsee		Chełmża	Culmsee		Chełmża		Kulmsee	Chełmża	Culmsee	Chełmża	Chełmża		Kulmsee		Culmsee	Kulmsee	Culmsee		Chełmża		Chełmża		Kulmsee	Chełmża		Chełmża	Chełmża	Chełmża	Chełmża		Chełmża	Kulmsee		Chełmża	Chełmża	Chełmża	Chełmża		Chełmża	Chełmża	Kulmsee	Chełmża		Chełmża	Chełmża	Chełmża	Chełmża		Chełmża	Chełmża	Chełmża		Chełmża												Chełmża		Chełmża	Culmsee	Kulmsee					Chełmża	Loza										Chełmża	Chełmża	Culmsee	Kulmsee		Chełmża		Chełmża	Kulmsee	Chełmża	Loza	Culmense	Culmensche	Cubusche	Colmensche	Colmensé	Colmesey	Cohnenzee	Kolmense	Culmenze	Kolmentz	Culmsee				Chełmża	Chôłmżô	Helmža	Хелмжа	海烏姆扎																															Chełmża	Łoza	Culmsee	Kulmsee				Chôłmżô	Łoza	Chêłmżô	Chełmża	Culmsee	Kulmsee																																										Chełmża	Chełmża	Chełmża	Culmsee
Chojnice	Konitz	Choynice				Conitz	Conitz	Conitz	Conitz		Conitz		Conitz	Conitz		Conitz	Conitz	Conitz		Conitz	Konitz	Konitz			Konitz	Conitz	Konitz	Konitz	Conitz			Choynice	Konitz	Konitz	Choynice		Konitz	Konitz	Choynice	Conitz		Konitz	Konitz	Konitz		Ronitz	Conitz	Konitz	Konitz	Konitz		Konitz	Chojnice	Konitz	Conitz	Chojnice	Konitz	Konitz				Konitz	Choynice	Konitz	Konitz	Chojnice	Konitz												Konitz		Konitz	Konitz	Konitz	Konitz	Chojnice	Konitz	Konitz	Konitz	Konitz	Chojnice	Konitz	Konitz	Konitz	Konitz	Chojnice	Konitz	Konitz	Konitz	Chojnice	Chojnice	Chojnice	Konitz		Chojnice		Chojnice	Chojnice		Chojnice	Chojnice		Chojnice				Konitz		Chojnice		Konitz		Chojnice	Konitz		Chojnice		Konitz	Chojnice	Konitz	Chojnice	Chojnice		Konitz		Konitz	Konitz	Konitz	Chojnice	Chojnice		Chojnice		Konitz	Chojnice		Chojnice	Chojnice	Chojnice	Chojnice		Chojnice	Konitz		Chojnice	Chojnice	Chojnice	Chojnice	Chojnice	Chojnice	Chojnice	Konitz	Chojnice		Chojnice	Chojnice	Chojnice	Chojnice	Chojnice	Chojnice	Chojnice	Chojnice		Chojnice			Chojnice	Chònice	Chòjnice					Chojnice		Chojnice		Chojnice	Konitz						Chojnice	Konitz										Chojnice	Chojnice	Konitz	Conitz	Chònice	Konitz		Chojnice	Konitz	Chojnice	Choinice	Conitz														Chojnice	ホイニツェ	Choinicės	Chònice	Conitz	Hojņice	Khoynitsy	Konitz	Хойнице	Хойніце	Хојњице	霍伊尼采																								Chojnice	Chònice	Chòjnice	Konitz				Chònice	Chòjnice	Chojnica	Choynicze	civitas Choinice	Konicz	Chogincze	Chojnice	Chòjnjce	Chojnice	Konitz																																					Chojnice	Chojnice	Chojnice	Konitz
Czarne	Hammerstein	Hammersztyn		Hamerstein		Hamerstein	Hamerstein	Hamerstein	Hamerstein		Hammerstein		Hammerstein	Hamerstein		Hamerstein	Hamerstein	Hamerstein		Hamerstein	Hamerstein					Hamerstein		Hamerstein	Hammerstein			Hamerstein		Hammerstein	Hammersztyn		Hammerstein			Hammerstein		Hamerstein	Hamerstein	Hammerstein		Hamerstein	Hamerstein	Hammerstein	Hammerstein	Hammerstein			Hamersztyn	Hammerstein	Hamerstein			Hammerstein		Hammerstein	Czarne	Hammerstein			Hamerstein	Czarne	Hammerstein												Hammerstein	Czarne	Hammerstein	Hammerstein	Hammerstein	Hammerstein	Czar	Hammerstein	Hammerstein	Hammerstein	Hammerstein		Hammerstein	Hamerstein	Hammerstein	Hammerstein	Hamersztyn	Hammerstein	Hammerstein		Hamersztyn		Hamersztyn	Hammerstein		Czarne	Hamersztyn	Hamersztyn			Czarne			Hammerstein	Czarne	Hammerstein		Hammerstein		Hammerstein	Czarne	Hammerstein		Czarne	Hammerstein		Hammerstein		Hammerstein		Hammerstein						Hammerstein	Hammerstein	Hammerstein		Czarne				Hammerstein			Czarne	Czarne	Czarne	Czarne	Hammerstein	Czarne	Hammerstein		Czarne	Czarne	Czarne	Czarne		Czarne	Czarne	Hammerstein	Czarne		Czarne	Czarne	Czarne	Czarne	Czarne	Czarne	Czarne			Czarne	Hamersztyn											Czarne		Czarne	Hammerstein						Hammerstein	Czarne										Czarne	Czarne	Hammerstein			Czarne		Czarne	Hammerstein	Czarne	Hamersztyn	Amerstina														Czarne	Čarne	Czôrné	Hammerstein	Чарне	恰尔内																														Czarne	Hamersztyn	Hammerstein					Czôrné	Hąmersztén	Hamersteyn	Hamersteyn	Amersthyn	Hamersztyn	Czarne	Czôrnè	Hômersztin	Czarne	Hammerstein																																					Czarne	Czarne	Czarne	Hammerstein
Człopa		Slopa		 		Schloppe	Schlopp	Schloppa	Schloppa		Schloppe			Schloppa			Schloppa	Schloppe		Schlöppe	Schloppa				Schlop	Schloppe		Schlop	Schloppe			Szlopie		Schloppe	Slopa		Slope			Schloppe		Schloppe	Schloppe	Schloppe		Schloppe	Schloppe	Schloppe	Schloppe	Schloppe										Schloppe	Sczloppa				Schloppe	Czlopa	Slopanowo												Schloppe		Schloppe	Schloppe		Schloppe	Slopanowo	Schloppe	Schloppe	Schloppe	Schloppe	Słopanowo	Schloppe	Schloppe	Schloppe	Schloppe	Słapanowo	Schloppe	Schloppe		Słopanowo		Słopanowo	Schloppe		Słopanowa					Człop			Schloppe	Człopa	Schloppe				Schloppe	Człopa	Schloppe		Człop	Schloppe		Schloppe		Schloppe		Schloppe						Schloppe	Schloppe	Schloppe		Człopa				Schloppe			Człopa	Człopa	Człopa			Człopa	Schloppe		Człopa	Człopa	Człopa	Człopa	Człopa	Człopa	Człopa	Schloppe	Człopa		Człopa	Człopa	Człopa	Człopa	Człopa		Człopa			Człopa												Człopa		Człopa	Schloppe						Człopa	Schloppe										Człopa	Człopa	Schloppe			Człopa		Człopa	Schloppe	Człopa	Slop	Szłopa	Słopanowo	Sloppe	Czopłem	Sluppe	Clopa	Czloppa								Człopa	Člopa	Schloppe	Члопа	奇沃帕																															Człopa	Viritium	Schloppe					Człopa	Szlopa	Slopa	Sloppe	Sloppa	Schloppe	Człopa	Schloppe																																								Człopa	Człopa	Człopa	Schloppe
Człuchów		Szłuchow		Szluchow		Schlochau	Schlochau		Schochau		Schlochau		Schlochau	Schochau					Schlochau	Schlochau						Schlochau		Schlochau	Schlockau			Schlochau		Schlochau	Szluchow		Sluchow			Schlochau		Schlochau	Schlochau	Schlochau		Schlochau	Schlochau	Schlochau	Schlochau	Schlochau		Schlochau	Słuchow	Schlochau	Schlochau	Słuchow	Schlochau	Schlochau		Schlochau		Schlochau	Słuchow	Schlochau	Schlochau	Człuchowo	Człochów	Szłochów	Schlochau	Slochow									Schlochau		Schlochau	Schlochau	Schlochau	Schlochau	Czloków	Schlochau	Schlochau	Schlochau	Schlochau	Człuchóvo	Schlochau	Schlochau	Schlochau	Schlochau	Człuchówo	Schlochau	Schlochau		Człuchówo	Człuchów	Człuchówo	Schlochau		Człuchowo		Człuchow			Człuchów			Schlochau	Człuchów	Schlochau		Schlochau		Schlochau	Człuchów	Schlochau		Schlochau	Człuchów		Schlochau		Schlochau		Schlochau						Schlochau	Schlochau	Schlochau		Człuchów	Schlochau			Schlochau	Człuchów		Człuchówo	Człuchów	Człuchów	Człuchówo	Schlochau	Człuchów	Schlochau		Człuchów	Człuchów	Człuchów	Człuchów	Człuchów	Człuchów	Człuchów	Schlochau	Człuchów		Człuchów	Człuchów	Człuchów	Człuchów	Człuchów	Człuchów	Człuchów			Człuchów			Człuchów	Człuchòwò	Człochòwò					Człuchów		Człuchów		Człuchów	Schlochau						Schlochau	Człuchów										Człuchów	Człuchów	Schlochau			Człuchów		Człuchów	Schlochau	Człuchów	Człuchowo	Schluchow	Sluchow													Człuchów	Čluhova	Człuchòwò	Schlochau	Члухов	Члухув	奇武胡夫																													Człuchów	Słuchów	Człochów	Człuchòwò	Człochòwò	Schlochau		Człuchòwò	Człochòwò	Człëchòwò	Slochow	Slochow	Czlochow	Słuchów	Człuchowo	Człuchów	Schlochau																																						Człuchów	Człuchów	Człuchów	Schlochau
Debrzno	Friedland	Frydland		Fridland		Friedland	Friedland	Friedland	Friedland		Preussisch Friedlandt	Friedeland	Preussisch Friedland	Friedland		Friedland	 	Preussisch Friedland		Preussisch Friedland		 				Friedland		Friedland	Friedland	Fridland				Preussisch Friedland	Frigdland					Preussisch Friedland		Preussisch Friedland	Preussisch Friedland	Preussisch Friedland		Preussisch Friedland	Preussisch Friedland	Preussisch Friedland	Preussisch Friedland	Preussisch Friedland		Preussisch Friedland	Pruski Frydland	Preussisch Friedland	Preussisch Friedland			Preussisch Friedland		Preussisch-Friedland		Preussisch Friedland	Friedland		Preussisch Friedland	Frydląd Pruski 	Preussisch Friedland												Preussisch Friedland		Preussisch Friedland	Preussisch Friedland	Preussisch-Friedland	Preussisch Friedland	Pruski Frydland	Preussisch Friedland	Preussisch Friedland	Preussisch Friedland	Preussisch Friedland	Frydlad	Preussisch Friedland	Preussisch Friedland	Preussisch-Friedland	Preussisch Friedland	Pruski Frydland	Preussisch Friedland	Preussisch-Friedland		Pruski Frydland		Pruski Frydland	Preussisch Friedland		Pruski Frydląd		Pruski Frydląd			Frydląd			Preussisch Friedland	Frydląd	Friedland				Preussisch Friedland	Frydląd Pruski	Preussisch Friedland		Frydląd	Preussisch Friedland		Preussisch Friedland		Preussisch Friedland								Preussisch Friedland	Preussisch Friedland	Preussisch Friedland		Pruski Frydląd				Preussisch Friedland			Dobrzynka	Frydlad	Debrzno	Debrzno	Preussisch Friedland	Debrzno	Preussisch Friedland		Debrzno	Debrzno	Debrzno	Debrzno		Debrzno	Debrzno	Preussisch Friedland	Debrzno		Debrzno	Debrzno	Debrzno	Debrzno	Debrzno	Debrzno	Debrzno			Debrzno	Frydląd	Pruski Frydląd										Debrzno		Debrzno	Preussisch Friedland						Debrzno	Preussisch Friedland										Debrzno	Debrzno	Preussisch Friedland	Frédląd		Debrzno		Debrzno	Preussisch Friedland	Debrzno	Frydland	Friedland														Debrzno	Debžno	Dobrzyno	Frédląd	Preussisch Friedland	Дебжно	代布日諾																													Debrzno	Frydląd Pomorski	Preussisch Friedland	Frédląd				Frédląd	Fréląd	Frëdląd	Fredeland	Frydland	od Freliąda	Fredelant	Frydląd Pruski	Frédląnd	Debrzno	Preussisch Friedland																																					Debrzno	Debrzno	Debrzno	Preussisch Friedland
